Guid,Name,Age__c,BusinessUnit__c,Services__c,ContractType__c,Country__c,CurrencyIsoCode__c,EndDate__c,HolidayAllowance__c,HolidayLeave__c,IdleTime__c,Illness__c,JobRiskGroup__c,LocalCode__c,PartPension__c,ProdlyID__c,PublicHolidays__c,ReductionOfWorkingHours__c,RiskGroupLevel__c,RiskRate__c,SalaryRange__c,SecondmentType__c,Service__c,StartDate__c,Subsidy__c,TalentType__c,TotalBenefitsGrossMultiplier__c,TotalBenefitsNetMultiplier__c,TotalNormalMultiplier__c,TotalOvertimeMultiplier__c,TotalShiftMultiplier__c,WorkerStatute__c
c843ae10-18e7-4134-87bc-41bf40162adf,a7HWF0000000Jve,#N/A,#N/A,Staffing,#N/A,AQ,#N/A,2030-12-31,#N/A,#N/A,#N/A,#N/A,White Collar,Dummydata4833,#N/A,AQ-04833,#N/A,#N/A,#N/A,0.3,#N/A,#N/A,#N/A,2023-01-01,#N/A,#N/A,1.0,#N/A,0.8,0.1,0.2,#N/A
6448b4d2-2bd9-4d5b-a22e-0641fe53b369,a7HWF0000000Lsx,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,White Collar,Dummydata6233,#N/A,AQ-06233,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job < 2 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
fbd31a2f-5cdf-48c3-a7c5-45ba2b2edd2b,a7HWF0000000KmG,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata2197,#N/A,AQ-02197,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,No Subsidy,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
5e8c360a-f999-4eb0-a427-8d68fe03e6a5,a7HWF0000000LLG,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,White Collar,Dummydata4158,#N/A,AQ-04158,#N/A,0,#N/A,#N/A,#N/A,#N/A,Contingent,2023-01-01,No Subsidy,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
baa09584-4cad-4ef1-b530-e35f64e8a1a0,a7HWF0000000KJw,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata346,#N/A,AQ-00346,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job < 2 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
e96d3e4e-03e2-460f-a297-3fac497755e3,a7HWF0000000Kny,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata2484,#N/A,AQ-02484,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job 2-3 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
da002f3c-7db0-4708-8f1d-00e5cd917551,a7HWF0000000LuM,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata6335,#N/A,AQ-06335,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,No Subsidy,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
7ad8cd98-004b-401d-b6b2-f73e55834230,a7HWF0000000JcW,#N/A,#N/A,Staffing,#N/A,AQ,#N/A,2030-12-31,#N/A,#N/A,#N/A,#N/A,White Collar,Dummydata1933,#N/A,AQ-01933,#N/A,#N/A,#N/A,0.3,#N/A,#N/A,#N/A,2023-01-01,#N/A,#N/A,1.0,#N/A,0.8,0.1,0.2,#N/A
38d52509-e9ae-46f6-b3ba-5474237c4ec4,a7HWF0000000Kbg,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata1585,#N/A,AQ-01585,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,Newly Arrived,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
907f1ddd-a9bd-4f35-a064-be8d12b23a0d,a7HWF0000000Jww,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata6834,#N/A,AQ-06834,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job 2-3 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
500a3c89-30a6-49cd-b953-6170ea05d6b9,a7HWF0000000LQH,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata4455,#N/A,AQ-04455,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job 2-3 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
1f14219b-2aa5-4b71-bfe6-6a7b50a32a8e,a7HWF0000000Jk9,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata5850,#N/A,AQ-05850,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job < 2 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
769fa500-5c97-44ca-b28c-27bc72a9985f,a7HWF0000000KJJ,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata299,#N/A,AQ-00299,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,No Subsidy,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
fe3a2e64-2615-404e-8860-ff5e31abb9b0,a7HWF0000000Jag,#N/A,#N/A,Staffing,#N/A,AQ,#N/A,2030-12-31,#N/A,#N/A,#N/A,#N/A,Blue Collar,Dummydata2141,#N/A,AQ-02141,#N/A,#N/A,#N/A,0.25,#N/A,#N/A,#N/A,2023-01-01,#N/A,#N/A,1.0,#N/A,0.8,0.1,0.2,#N/A
95405104-ecc5-4e0c-889e-c5fd270587d8,a7HWF0000000LaV,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata5501,#N/A,AQ-05501,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job < 2 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
37ed5f4b-157c-48aa-ac37-b6a8cd7a061e,a7HWF0000000LLW,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata4174,#N/A,AQ-04174,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job 2-3 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
50bb923c-cf1d-4c9c-8525-a319cb24ad75,a7HWF0000000MEL,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,White Collar,Dummydata7557,#N/A,AQ-07557,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,No Subsidy,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
a09fb884-a235-4a3d-b97a-bc685f5bfd53,a7HWF0000000MDJ,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,White Collar,Dummydata7493,#N/A,AQ-07493,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,No Subsidy,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
82ec94a0-15d4-4d3e-a666-18f69f55a795,a7HWF0000000Kad,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata1513,#N/A,AQ-01513,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job < 2 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
f4fedffc-745a-421c-8336-5051867e9c65,a7HWF0000000L2D,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata5228,#N/A,AQ-05228,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job 2-3 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
69f900d9-31a8-4d84-ba44-664c01787ef1,a7HWF0000000KPn,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata689,#N/A,AQ-00689,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,No Subsidy,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
2d3b02e4-7dae-4184-9941-d3b47ec60914,a7HWF0000000KOK,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata599,#N/A,AQ-00599,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,No Subsidy,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
9dc1d608-5b8e-4fe1-a397-8eb2e287064c,a7HWF0000000LOT,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata4763,#N/A,AQ-04763,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,No Subsidy,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
851cdd33-ec29-43a8-9cbb-bb7b12198dc3,a7HWF0000000KPR,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata661,#N/A,AQ-00661,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job < 2 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
97caa989-155f-482c-9447-582316fd4478,a7HWF0000000MB3,#N/A,#N/A,Staffing,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,1st Day Excluded,#N/A,Dummydata7753,#N/A,AQ-07753,Included,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,#N/A,#N/A,1.0,0.0,0.8,0.1,0.2,Artist
2bf1ad2c-e9dc-42c6-a580-81737dcdfa36,a7HWF0000000Kue,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata2306,#N/A,AQ-02306,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job 2-3 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
602ed0b3-77c8-4564-a266-88016c127610,a7HWF0000000KYW,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,White Collar,Dummydata1333,#N/A,AQ-01333,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job < 2 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
66732fe2-a798-4b24-bda1-b6704188ded5,a7HWF0000000KpX,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata2586,#N/A,AQ-02586,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,No Subsidy,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
8986b9af-2ac9-40c4-93cc-3c29e2ccba31,a7HWF0000000LH9,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata4292,#N/A,AQ-04292,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job >3 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
71faad18-acbc-4da2-ba0f-0176771bd313,a7HWF0000000JcA,#N/A,#N/A,Staffing,#N/A,AQ,#N/A,2030-12-31,#N/A,#N/A,#N/A,#N/A,Blue Collar,Dummydata1808,#N/A,AQ-01808,#N/A,#N/A,#N/A,0.25,#N/A,#N/A,#N/A,2023-01-01,#N/A,#N/A,1.0,#N/A,0.8,0.1,0.2,#N/A
c3edf082-321e-4784-9e7d-f190e646af52,a7HWF0000000KKc,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata398,#N/A,AQ-00398,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,No Subsidy,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
3baa2c9c-0f62-41a1-826c-ad426f19a84a,a7HWF0000000LgB,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata5901,#N/A,AQ-05901,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,Newly Arrived,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
c8403293-a6cb-4241-8571-9d282159c326,a7HWF0000000Jp2,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata1310,#N/A,AQ-01310,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,Newly Arrived,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
1b3148f9-ca18-4df2-a62a-ea4c61eab45a,a7HWF0000000M2c,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata6881,#N/A,AQ-06881,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,Newly Arrived,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
e4b28fa9-3827-493b-8720-f69bd20369d9,a7HWF0000000KfF,#N/A,#N/A,Staffing,#N/A,AQ,#N/A,2030-12-31,8.33,25,Included,#N/A,Blue Collar,Dummydata1761,#N/A,AQ-01761,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,#N/A,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
272259cc-db49-421f-90b0-bd5ab23b16cc,a7HWF0000000Ljn,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata5719,#N/A,AQ-05719,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,No Subsidy,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
5fde7316-51ef-4fd7-af1e-6f309f36692d,a7HWF0000000LY1,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata5179,#N/A,AQ-05179,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job < 2 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
2c0164fe-ca39-45a5-8ec8-41be38b4bb59,a7HWF0000000Kxh,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata2772,#N/A,AQ-02772,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,No Subsidy,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
bbe6b55d-a919-48ab-9b0a-0427e9968208,a7HWF0000000KX7,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata1145,#N/A,AQ-01145,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,No Subsidy,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
77de4745-08c2-4999-ada3-943c19111d29,a7HWF0000000KhL,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata1883,#N/A,AQ-01883,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job 2-3 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
c196e2f9-4fec-4784-9f9e-54df061afc4d,a7HWF0000000KNN,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,White Collar,Dummydata539,#N/A,AQ-00539,#N/A,0,#N/A,#N/A,#N/A,#N/A,Contingent,2023-01-01,New Start Job 2-3 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
11917198-44be-4e7b-9905-997f6b148975,a7HWF0000000LBW,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata3962,#N/A,AQ-03962,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,No Subsidy,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
af87dcd6-cfb1-4168-880d-7093f40a3dd5,a7HWF0000000Kly,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata2168,#N/A,AQ-02168,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,Newly Arrived,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
e24b1b03-bda5-46ec-8cb4-f02376c0a260,a7HWF0000000LG7,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,White Collar,Dummydata4225,#N/A,AQ-04225,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,Newly Arrived,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
d51d5f4d-f2d5-498f-85a2-cda0f87b4543,a7HWF0000000LnV,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata6097,#N/A,AQ-06097,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job 2-3 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
380979f6-1768-44ae-acea-1d43ef071c0d,a7HWF0000000KoW,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata2519,#N/A,AQ-02519,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job >3 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
c3d8748d-f012-46ed-9772-74b6f89e59db,a7HWF0000000Jdy,#N/A,#N/A,Staffing,#N/A,AQ,#N/A,2030-12-31,#N/A,#N/A,#N/A,#N/A,Blue Collar,Dummydata2274,#N/A,AQ-02274,#N/A,#N/A,#N/A,0.25,#N/A,#N/A,#N/A,2023-01-01,#N/A,#N/A,1.0,#N/A,0.8,0.1,0.2,#N/A
900918f9-dee7-4d74-bb15-797c50c4202c,a7HWF0000000LRn,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata4585,#N/A,AQ-04585,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job 2-3 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
918f1250-600f-4568-a273-01893b126b57,a7HWF0000000LD6,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata3437,#N/A,AQ-03437,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,No Subsidy,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
adb90700-3683-4389-b58e-0ec86d1d6452,a7HWF0000000Jxm,#N/A,#N/A,Staffing,#N/A,AQ,#N/A,2030-12-31,#N/A,#N/A,#N/A,#N/A,Blue Collar,Dummydata4590,#N/A,AQ-04590,#N/A,#N/A,#N/A,0.25,#N/A,#N/A,#N/A,2023-01-01,#N/A,#N/A,1.0,#N/A,0.8,0.1,0.2,#N/A
a069ba0a-da14-4dfa-8fca-f82e85cdc1d1,a7HWF0000000KQ3,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata707,#N/A,AQ-00707,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,Newly Arrived,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
d1e44bad-5ab6-47c7-9fc1-ee1d45809984,a7HWF0000000M2v,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata6904,#N/A,AQ-06904,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job < 2 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
98429292-df39-441d-903b-1e6bf56a22b7,a7HWF0000000KWF,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata1087,#N/A,AQ-01087,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job < 2 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
391a87f0-e357-4154-81f7-6428e2a344ad,a7HWF0000000LoO,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,White Collar,Dummydata6155,#N/A,AQ-06155,#N/A,0,#N/A,#N/A,#N/A,#N/A,Contingent,2023-01-01,New Start Job 2-3 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
3833340e-aae1-4ee8-945a-21a731f2a0f4,a7HWF0000000KpV,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata2584,#N/A,AQ-02584,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job 2-3 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
e8e41e90-4ca6-4920-9fb3-03ece13050b8,a7HWF0000000KS7,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,White Collar,Dummydata827,#N/A,AQ-00827,#N/A,0,#N/A,#N/A,#N/A,#N/A,Contingent,2023-01-01,New Start Job >3 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
74a8f82b-12ad-4ff7-8a1c-e30a18c09d85,a7HWF0000000LrY,#N/A,#N/A,#N/A,#N/A,AQ,#N/A,2030-12-31,8.33,25,#N/A,#N/A,Blue Collar,Dummydata6576,#N/A,AQ-06576,#N/A,0,#N/A,#N/A,#N/A,#N/A,Temp,2023-01-01,New Start Job < 2 year,#N/A,1.0,0.0,0.8,0.1,0.2,#N/A
